sale_id,sale_date,quantity,discount_applied,payment_method ,discount_percent,product_name,brand_name,category,price,customer_name,city,gender,total_revenue,gross_revenue,discount_value
23,2024-01-02,3,No,Online,0.0,Organic Lip Balm Natural,KaliFlower Organics,Eye & Lip Care / Specialized Areas,18.09,Dragan Kotevski,Skopje,Male,54.27,54.27,0.0
24,2024-01-02,2,No,Cash,0.0,Hydrating Toning Mist,INIKA Organic,"Toners, Mists & Toning Products",43.17,Maja Hrastnik,Ljubljana,Female,86.34,86.34,0.0
25,2024-01-02,1,Yes,Online,0.04,Pure Rosehip Oil,Alteya  Organics,"Serums, Face Oils & Targeted Treatments",14.8,Pawel Krawczyk,Krakow,Male,14.21,14.8,0.59
26,2024-01-02,2,No,Card,0.0,Curl Love Moisture Milk,Camille Rose,Hair Care,35.61,Marco Galli,Milan,Male,71.22,71.22,0.0
27,2024-01-02,3,No,Cash,0.0,Brightening AHA Peel Mask,MADARA,"Masks, Exfoliants & Facial Treatments",21.9,Bianca Tudor,Bucharest,Female,65.7,65.7,0.0
28,2024-01-02,3,No,Card,0.0,Facial Oil Vitamin Cocktail,Mossa,"Serums, Face Oils & Targeted Treatments",11.6,Fabio Serra,Florence,Male,34.8,34.8,0.0
29,2024-01-02,3,No,Online,0.0,Cleansing Milk,Madara,Cleansers & Face Washes,30.9,Bogdan Pavel,Bucharest,Male,92.7,92.7,0.0
30,2024-01-02,3,No,Cash,0.0,Face Oil Serum,KaliFlower Organics,"Serums, Face Oils & Targeted Treatments",26.9,Catalin Pintea,Cluj-Napoca,Male,80.7,80.7,0.0
31,2024-01-02,2,No,Cash,0.0,Recovering Serum,MG Skincare,"Serums, Face Oils & Targeted Treatments",41.85,Elena Ivanova,Sofia,Female,83.7,83.7,0.0
32,2024-01-02,1,Yes,Cash,0.01,Saccharomyces Ferment 30% Milky Toner,The Ordinary,"Toners, Mists & Toning Products",14.0,Fabio Serra,Florence,Male,13.86,14.0,0.14
33,2024-01-02,2,No,Cash,0.0,Squalane Cleanser,The Ordinary,Cleansers & Face Washes,23.45,Noah Frei,Zurich,Male,46.9,46.9,0.0
34,2024-01-03,3,No,Online,0.0,PHAZE Clarifying Face Wash,Pai Skincare,Cleansers & Face Washes,30.99,Andrei Lupu,Chisinau,Male,92.97,92.97,0.0
35,2024-01-03,1,No,Card,0.0,Divine Face Oil Rosehip & Avocado,Antipodes,"Serums, Face Oils & Targeted Treatments",17.95,Zofia Lewandowska,Krakow,Female,17.95,17.95,0.0
36,2024-01-03,1,No,Online,0.0,Wonder Black Rice Bakuchiol Eye Cream,Haruharu,Eye & Lip Care / Specialized Areas,18.2,Filip Kitanov,Skopje,Male,18.2,18.2,0.0
37,2024-01-03,1,No,Cash,0.0,Salicylic Acid 2% Masque,The Ordinary,"Masks, Exfoliants & Facial Treatments",23.3,Ana Olaru,Chisinau,Female,23.3,23.3,0.0
38,2024-01-03,2,No,Card,0.0,Pumpkin Powerhouse Resurfacing & Exfoliating Enzyme Mask,Bliss,"Masks, Exfoliants & Facial Treatments",42.77,Cristina Rusu,Chisinau,Female,85.54,85.54,0.0
39,2024-01-03,2,No,Cash,0.0,Face Moisturiser,UpCircle,Moisturizers & Creams,30.93,Sarah Vogt,Zurich,Female,61.86,61.86,0.0
40,2024-01-03,1,No,Card,0.0,Pure Rosehip Oil,Alteya  Organics,"Serums, Face Oils & Targeted Treatments",14.8,Beatrice Moretti,Milan,Female,14.8,14.8,0.0
41,2024-01-03,2,No,Online,0.0,Oblepikha C‑Berrica Face Peeling Mask,Natura Siberica,"Masks, Exfoliants & Facial Treatments",12.35,Vesa Reka,Tirana,Female,24.7,24.7,0.0
42,2024-01-03,3,No,Card,0.0,Organic Flowers Water Cream,Whamisa,Moisturizers & Creams,30.89,Florian Koch,Munich,Male,92.67,92.67,0.0
43,2024-01-03,3,No,Card,0.0,Set The Tone Mist Toner,The Organic Skin Co,"Toners, Mists & Toning Products",27.97,Rares Pop,Cluj-Napoca,Male,83.91,83.91,0.0
44,2024-01-03,3,No,Online,0.0,Ground Rice & Honey Glow Mask,Beauty of Joseon,"Masks, Exfoliants & Facial Treatments",26.63,Dimitar Borisov,Plovdiv,Male,79.89,79.89,0.0
45,2024-01-03,3,No,Card,0.0,Watermelon Glow PHA+BHA Pore-Tight Toner,Glow Recipe,"Toners, Mists & Toning Products",31.95,Amina Hadzic,Sarajevo,Female,95.85,95.85,0.0
46,2024-01-04,3,No,Online,0.0,Squalane Cleanser,The Ordinary,Cleansers & Face Washes,23.45,Michal Kral,Bratislava,Male,70.35,70.35,0.0
47,2024-01-04,1,No,Card,0.0,Face Care Intensive Action Exfoliating Mask,Byothea,"Masks, Exfoliants & Facial Treatments",29.74,Radoslav Marinov,Sofia,Male,29.74,29.74,0.0
48,2024-01-04,3,No,Card,0.0,All Purpose Skin Cream,Egyptian Magic,Moisturizers & Creams,24.45,Natalia Cojocaru,Chisinau,Female,73.35,73.35,0.0
49,2024-01-04,2,Yes,Online,0.08,Cleansing Milk,Madara,Cleansers & Face Washes,30.9,Helena Liapis,Athens,Female,56.86,61.8,4.94
50,2024-01-04,3,No,Card,0.0,Organic Lip Balm Natural,KaliFlower Organics,Eye & Lip Care / Specialized Areas,18.09,Natalia Cojocaru,Chisinau,Female,54.27,54.27,0.0
51,2024-01-04,2,Yes,Cash,0.06,All Purpose Skin Cream,Egyptian Magic,Moisturizers & Creams,24.45,Nermin Music,Sarajevo,Male,45.97,48.9,2.93
52,2024-01-04,2,Yes,Online,0.04,Curl Love Moisture Milk,Camille Rose,Hair Care,35.61,Florian Koch,Munich,Male,68.37,71.22,2.85
53,2024-01-04,2,No,Cash,0.0,Rose Day Cream,Dr Hauschka,Moisturizers & Creams,34.89,Valentina Fiore,Florence,Female,69.78,69.78,0.0
54,2024-01-04,1,Yes,Cash,0.07,Hydrating Mist Toner,Trilogy,"Toners, Mists & Toning Products",15.97,Fabio Serra,Florence,Male,14.85,15.97,1.12
55,2024-01-04,1,Yes,Cash,0.04,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Sarah Vogt,Zurich,Female,50.74,52.85,2.11
56,2024-01-04,2,No,Card,0.0,Serum 768 Organic Skin Oil,Terranova,"Serums, Face Oils & Targeted Treatments",30.9,Eliska Prochazkova,Prague,Female,61.8,61.8,0.0
57,2024-01-05,2,No,Cash,0.0,Timeless Renewal Hand Cream,Evolve Organic Beauty,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",26.44,Martina Gallo,Florence,Female,52.88,52.88,0.0
58,2024-01-05,1,No,Online,0.0,Face Oil Serum,KaliFlower Organics,"Serums, Face Oils & Targeted Treatments",26.9,Daniela Horvathova,Bratislava,Female,26.9,26.9,0.0
59,2024-01-05,2,No,Cash,0.0,Hand & Foot Oil,R.K's Aroma,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",45.66,Tanja Milic,Novi Sad,Female,91.32,91.32,0.0
60,2024-01-05,2,No,Online,0.0,All Purpose Skin Cream,Egyptian Magic,Moisturizers & Creams,24.45,Marco Galli,Milan,Male,48.9,48.9,0.0
61,2024-01-05,3,No,Card,0.0,Active Botanical Serum,Vintner's Daughter,"Serums, Face Oils & Targeted Treatments",240.0,Gabor Farkas,Budapest,Male,720.0,720.0,0.0
62,2024-01-05,3,No,Online,0.0,Bio Organic Buckwheat Eye Care,Nuxe,Eye & Lip Care / Specialized Areas,35.9,Andrea Vitale,Milan,Male,107.7,107.7,0.0
63,2024-01-05,1,No,Card,0.0,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Monika Polakova,Bratislava,Female,52.85,52.85,0.0
64,2024-01-05,3,No,Cash,0.0,Pure Beauty Toner,Lavera,"Toners, Mists & Toning Products",23.99,Amina Hadzic,Sarajevo,Female,71.97,71.97,0.0
65,2024-01-05,1,Yes,Cash,0.01,Pure Rosehip Oil,Alteya  Organics,"Serums, Face Oils & Targeted Treatments",14.8,Beatrice Moretti,Milan,Female,14.65,14.8,0.15
66,2024-01-05,3,No,Cash,0.0,Hydrating Toning Mist,INIKA Organic,"Toners, Mists & Toning Products",43.17,Nikola Trajkov,Skopje,Male,129.51,129.51,0.0
67,2024-01-05,3,No,Card,0.0,Hydrating Toning Mist,INIKA Organic,"Toners, Mists & Toning Products",43.17,Sarah Vogt,Zurich,Female,129.51,129.51,0.0
68,2024-01-06,3,No,Card,0.0,Beautifying Toner,Henua Organics,"Toners, Mists & Toning Products",49.9,Timea Boda,Budapest,Female,149.7,149.7,0.0
69,2024-01-06,1,No,Online,0.0,Rosemary Mint Scalp & Hair Strengthening Oil,Mielle,Hair Care,22.25,Dragan Kotevski,Skopje,Male,22.25,22.25,0.0
70,2024-01-06,1,No,Card,0.0,Honey Hydration Power Pack,Gisou,Hair Care,65.0,Georgi Dimitrov,Sofia,Male,65.0,65.0,0.0
71,2024-01-06,2,Yes,Cash,0.09,Rose Day Cream,Dr Hauschka,Moisturizers & Creams,34.89,Nermin Music,Sarajevo,Male,63.5,69.78,6.28
72,2024-01-06,3,No,Online,0.0,Ground Rice & Honey Glow Mask,Beauty of Joseon,"Masks, Exfoliants & Facial Treatments",26.63,Marco Galli,Milan,Male,79.89,79.89,0.0
73,2024-01-06,3,No,Online,0.0,Phyto‑Active Face Oil,INIKA Organic,"Serums, Face Oils & Targeted Treatments",59.0,Weronika Lipinska,Krakow,Female,177.0,177.0,0.0
74,2024-01-06,3,No,Card,0.0,Gentle Gel Cleanser,Honest Beauty,Cleansers & Face Washes,48.2,Nikolas Antonis,Athens,Male,144.6,144.6,0.0
75,2024-01-06,3,No,Cash,0.0,Collagen Hand & Foot Cream,Mizon,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",6.77,Teodora Arsova,Skopje,Female,20.31,20.31,0.0
76,2024-01-06,3,No,Cash,0.0,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Nikolas Antonis,Athens,Male,158.55,158.55,0.0
77,2024-01-06,3,No,Online,0.0,Organic Lip Balm Natural,KaliFlower Organics,Eye & Lip Care / Specialized Areas,18.09,Valentina Fiore,Florence,Female,54.27,54.27,0.0
78,2024-01-06,1,No,Card,0.0,Skin Food Glow Serum Drops,Weleda,"Serums, Face Oils & Targeted Treatments",20.7,Elena Stan,Bucharest,Female,20.7,20.7,0.0
79,2024-01-06,1,No,Cash,0.0,Wonder Black Rice Bakuchiol Eye Cream,Haruharu,Eye & Lip Care / Specialized Areas,18.2,Andreea Popescu,Bucharest,Female,18.2,18.2,0.0
80,2024-01-06,1,Yes,Cash,0.02,Calendula Flower Cleansing Milk,100% PURE,Cleansers & Face Washes,41.89,Tamara Pavlovic,Belgrade,Female,41.05,41.89,0.84
81,2024-01-06,1,No,Card,0.0,Oblepikha C‑Berrica Face Peeling Mask,Natura Siberica,"Masks, Exfoliants & Facial Treatments",12.35,Mehmet Kaya,Istanbul,Male,12.35,12.35,0.0
82,2024-01-06,3,No,Card,0.0,Natural Moisturizing Factors + HA,The Ordinary,Moisturizers & Creams,13.6,Kaloyan Petrov,Sofia,Male,40.8,40.8,0.0
83,2024-01-06,3,No,Cash,0.0,Skin Food Glow Serum Drops,Weleda,"Serums, Face Oils & Targeted Treatments",20.7,Weronika Lipinska,Krakow,Female,62.1,62.1,0.0
84,2024-01-07,2,Yes,Cash,0.02,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Derya Yildiz,Istanbul,Female,103.59,105.7,2.11
85,2024-01-07,1,No,Cash,0.0,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Lucia Bellini,Florence,Female,52.85,52.85,0.0
86,2024-01-07,2,Yes,Card,0.04,Lip Balm Lavender,Alteya Organics,Eye & Lip Care / Specialized Areas,10.94,Ivana Markoska,Skopje,Female,21.0,21.88,0.88
87,2024-01-07,1,No,Online,0.0,Daily Moisturising Cream,Balmonds,Moisturizers & Creams,32.17,Luca Costa,Milan,Male,32.17,32.17,0.0
88,2024-01-07,1,Yes,Card,0.04,Basis Foot Cream,Lavera,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",13.94,Bogdan Pavel,Bucharest,Male,13.38,13.94,0.56
89,2024-01-07,2,No,Card,0.0,Brightening AHA Peel Mask,MADARA,"Masks, Exfoliants & Facial Treatments",21.9,Monica Petrescu,Bucharest,Female,43.8,43.8,0.0
90,2024-01-07,3,No,Cash,0.0,Ground Rice & Honey Glow Mask,Beauty of Joseon,"Masks, Exfoliants & Facial Treatments",26.63,Katarina Petrovic,Belgrade,Female,79.89,79.89,0.0
91,2024-01-07,2,No,Cash,0.0,Organic Lip Balm Natural,KaliFlower Organics,Eye & Lip Care / Specialized Areas,18.09,Zofia Lewandowska,Krakow,Female,36.18,36.18,0.0
92,2024-01-07,2,No,Cash,0.0,Light Work Cleansing Oil,Pai Skincare,Cleansers & Face Washes,26.99,Milena Petkova,Skopje,Female,53.98,53.98,0.0
93,2024-01-07,3,No,Card,0.0,Watermelon Glow PHA+BHA Pore-Tight Toner,Glow Recipe,"Toners, Mists & Toning Products",31.95,Nikola Blazkova,Prague,Female,95.85,95.85,0.0
94,2024-01-07,2,No,Cash,0.0,Natural Moisturizing Factors + HA,The Ordinary,Moisturizers & Creams,13.6,Jelena Matic,Novi Sad,Female,27.2,27.2,0.0
95,2024-01-07,1,No,Card,0.0,Aloe & Avocado Anti‑Puffiness Eye Cream,Organic Shop,Eye & Lip Care / Specialized Areas,17.09,Jonas Fuchs,Munich,Male,17.09,17.09,0.0
96,2024-01-07,2,No,Online,0.0,Divine Face Oil Rosehip & Avocado,Antipodes,"Serums, Face Oils & Targeted Treatments",17.95,Lara Wagner,Munich,Female,35.9,35.9,0.0
97,2024-01-08,2,No,Cash,0.0,Rose Water Toner Mist,Just Herbs,"Toners, Mists & Toning Products",10.66,Mircea Ilie,Cluj-Napoca,Male,21.32,21.32,0.0
98,2024-01-08,2,No,Cash,0.0,Moisturising Cream,MUJI,Moisturizers & Creams,33.95,Dimitar Borisov,Plovdiv,Male,67.9,67.9,0.0
99,2024-01-08,2,No,Cash,0.0,Daily Moisturising Cream,Balmonds,Moisturizers & Creams,32.17,Dragan Kotevski,Skopje,Male,64.34,64.34,0.0
100,2024-01-08,2,No,Online,0.0,Oblepikha C‑Berrica Face Peeling Mask,Natura Siberica,"Masks, Exfoliants & Facial Treatments",12.35,Elisa Romano,Milan,Female,24.7,24.7,0.0
101,2024-01-08,1,No,Card,0.0,Hydrating Cream Conditioner,INNERSENSE,Hair Care,43.95,Alessia Rinaldi,Milan,Female,43.95,43.95,0.0
102,2024-01-08,1,Yes,Card,0.03,Divine Face Oil Rosehip & Avocado,Antipodes,"Serums, Face Oils & Targeted Treatments",17.95,Maria Papadopoulou,Thessaloniki,Female,17.41,17.95,0.54
103,2024-01-08,3,No,Online,0.0,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Cristina Rusu,Chisinau,Female,158.55,158.55,0.0
104,2024-01-08,1,No,Online,0.0,Hand & Foot Oil,R.K's Aroma,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",45.66,Sara Boskovic,Split,Female,45.66,45.66,0.0
105,2024-01-08,3,No,Cash,0.0,Sea Ceramide Toning Mist,Fitglow Beauty,"Toners, Mists & Toning Products",26.95,Leona Peric,Split,Female,80.85,80.85,0.0
106,2024-01-08,3,No,Cash,0.0,Pure Rosehip Oil,Alteya  Organics,"Serums, Face Oils & Targeted Treatments",14.8,Marco Galli,Milan,Male,44.4,44.4,0.0
107,2024-01-08,3,Yes,Cash,0.07,Oblepikha C‑Berrica Face Peeling Mask,Natura Siberica,"Masks, Exfoliants & Facial Treatments",12.35,Besa Dervishi,Tirana,Female,34.46,37.05,2.59
108,2024-01-08,3,No,Card,0.0,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Bogdan Pavel,Bucharest,Male,158.55,158.55,0.0
109,2024-01-08,3,No,Card,0.0,Hydrating Cream Conditioner,INNERSENSE,Hair Care,43.95,Cemal Kaplan,Istanbul,Male,131.85,131.85,0.0
110,2024-01-09,2,No,Cash,0.0,Phyto‑Active Face Oil,INIKA Organic,"Serums, Face Oils & Targeted Treatments",59.0,Tobias Klein,Vienna,Male,118.0,118.0,0.0
111,2024-01-09,1,Yes,Online,0.01,Hyaluronic Eye Serum,Evolve Organic Beauty,Eye & Lip Care / Specialized Areas,22.35,Lazar Milosevic,Belgrade,Male,22.13,22.35,0.22
112,2024-01-09,2,Yes,Cash,0.05,Daily Moisturising Cream,Balmonds,Moisturizers & Creams,32.17,Luka Drago,Split,Male,61.12,64.34,3.22
113,2024-01-09,3,No,Online,0.0,Foot Balm,Weleda,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",12.84,Eva Zupanc,Ljubljana,Female,38.52,38.52,0.0
114,2024-01-09,1,No,Online,0.0,Phyto‑Active Face Oil,INIKA Organic,"Serums, Face Oils & Targeted Treatments",59.0,Mila Braun,Munich,Female,59.0,59.0,0.0
115,2024-01-09,3,No,Card,0.0,Shea Hand Cream,L'Occitane,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",14.4,Hana Barta,Prague,Female,43.2,43.2,0.0
116,2024-01-09,3,No,Card,0.0,Honey Hydration Power Pack,Gisou,Hair Care,65.0,Kostas Doukas,Athens,Male,195.0,195.0,0.0
117,2024-01-09,3,No,Card,0.0,Sea Ceramide Toning Mist,Fitglow Beauty,"Toners, Mists & Toning Products",26.95,Boris Angelov,Sofia,Male,80.85,80.85,0.0
118,2024-01-09,1,No,Cash,0.0,Brightening AHA Peel Mask,MADARA,"Masks, Exfoliants & Facial Treatments",21.9,Dimitar Georgiev,Sofia,Male,21.9,21.9,0.0
119,2024-01-09,2,No,Online,0.0,Cleansing Milk,Madara,Cleansers & Face Washes,30.9,Dusan Stojanovic,Belgrade,Male,61.8,61.8,0.0
120,2024-01-09,2,No,Online,0.0,Divine Face Oil Rosehip & Avocado,Antipodes,"Serums, Face Oils & Targeted Treatments",17.95,Radoslav Marinov,Sofia,Male,35.9,35.9,0.0
121,2024-01-09,3,No,Cash,0.0,Recovering Serum,MG Skincare,"Serums, Face Oils & Targeted Treatments",41.85,Erik Meier,Munich,Male,125.55,125.55,0.0
122,2024-01-09,2,No,Card,0.0,Foot Balm,Weleda,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",12.84,Victor Marinescu,Bucharest,Male,25.68,25.68,0.0
123,2024-01-09,3,No,Card,0.0,Hydrating Mist Toner,Trilogy,"Toners, Mists & Toning Products",15.97,Dario Alagic,Sarajevo,Male,47.91,47.91,0.0
124,2024-01-10,2,No,Cash,0.0,Brightening AHA Peel Mask,MADARA,"Masks, Exfoliants & Facial Treatments",21.9,Dario Kralj,Zagreb,Male,43.8,43.8,0.0
125,2024-01-10,1,No,Online,0.0,Sea Ceramide Toning Mist,Fitglow Beauty,"Toners, Mists & Toning Products",26.95,Elisa Romano,Milan,Female,26.95,26.95,0.0
126,2024-01-10,3,No,Card,0.0,Hyaluronic Eye Serum,Evolve Organic Beauty,Eye & Lip Care / Specialized Areas,22.35,Piotr Zielinski,Krakow,Male,67.05,67.05,0.0
127,2024-01-10,1,No,Card,0.0,Bio Organic Buckwheat Eye Care,Nuxe,Eye & Lip Care / Specialized Areas,35.9,Andrea Vitale,Milan,Male,35.9,35.9,0.0
128,2024-01-10,2,No,Online,0.0,Wonder Black Rice Bakuchiol Eye Cream,Haruharu,Eye & Lip Care / Specialized Areas,18.2,Ivana Markoska,Skopje,Female,36.4,36.4,0.0
129,2024-01-10,3,No,Cash,0.0,Face Moisturiser,UpCircle,Moisturizers & Creams,30.93,Filip Andric,Split,Male,92.79,92.79,0.0
130,2024-01-10,3,No,Cash,0.0,Face Care Intensive Action Exfoliating Mask,Byothea,"Masks, Exfoliants & Facial Treatments",29.74,Marco Galli,Milan,Male,89.22,89.22,0.0
131,2024-01-10,3,No,Cash,0.0,Renewing Face Oil,ACO Face,"Serums, Face Oils & Targeted Treatments",20.9,Bogdan Pavel,Bucharest,Male,62.7,62.7,0.0
132,2024-01-10,1,No,Cash,0.0,Vinoperfect Glycolic Peel Mask,Caudalie,"Masks, Exfoliants & Facial Treatments",27.45,Boris Angelov,Sofia,Male,27.45,27.45,0.0
133,2024-01-10,1,No,Cash,0.0,Serum 768 Organic Skin Oil,Terranova,"Serums, Face Oils & Targeted Treatments",30.9,Arben Lala,Tirana,Male,30.9,30.9,0.0
134,2024-01-10,1,Yes,Online,0.06,Ground Rice & Honey Glow Mask,Beauty of Joseon,"Masks, Exfoliants & Facial Treatments",26.63,Cristina Rusu,Chisinau,Female,25.03,26.63,1.6
135,2024-01-10,1,No,Cash,0.0,Moisturising Cream,MUJI,Moisturizers & Creams,33.95,Elif Acar,Istanbul,Female,33.95,33.95,0.0
136,2024-01-10,3,Yes,Card,0.07,Organic Rosemary & Eucalyptus Hand & Body Cream,Beauty Kitchen,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",21.82,Daniela Yaneva,Plovdiv,Female,60.88,65.46,4.58
137,2024-01-10,2,No,Online,0.0,Face Moisturiser,UpCircle,Moisturizers & Creams,30.93,Konstantina Alexiou,Athens,Female,61.86,61.86,0.0
138,2024-01-10,1,No,Cash,0.0,Pure Rosehip Oil,Alteya  Organics,"Serums, Face Oils & Targeted Treatments",14.8,Michal Kral,Bratislava,Male,14.8,14.8,0.0
139,2024-01-10,2,No,Online,0.0,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Leonie Scholz,Munich,Female,105.7,105.7,0.0
140,2024-01-11,1,No,Card,0.0,PHAZE Clarifying Face Wash,Pai Skincare,Cleansers & Face Washes,30.99,Amelia Berger,Zurich,Female,30.99,30.99,0.0
141,2024-01-11,1,No,Cash,0.0,Hydrating Toning Mist,INIKA Organic,"Toners, Mists & Toning Products",43.17,Erik Meier,Munich,Male,43.17,43.17,0.0
142,2024-01-11,1,No,Online,0.0,Wonder Black Rice Bakuchiol Eye Cream,Haruharu,Eye & Lip Care / Specialized Areas,18.2,Erion Hoxha,Tirana,Male,18.2,18.2,0.0
143,2024-01-11,1,No,Online,0.0,Serum 768 Organic Skin Oil,Terranova,"Serums, Face Oils & Targeted Treatments",30.9,Gabor Farkas,Budapest,Male,30.9,30.9,0.0
144,2024-01-11,2,No,Card,0.0,Rosemary Mint Scalp & Hair Strengthening Oil,Mielle,Hair Care,22.25,Lamija Kovacevic,Sarajevo,Female,44.5,44.5,0.0
145,2024-01-11,2,No,Online,0.0,Hand & Foot Oil,R.K's Aroma,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",45.66,Giada Barone,Florence,Female,91.32,91.32,0.0
146,2024-01-11,1,No,Cash,0.0,Facial Oil Vitamin Cocktail,Mossa,"Serums, Face Oils & Targeted Treatments",11.6,Marin Vidovic,Split,Male,11.6,11.6,0.0
147,2024-01-11,2,Yes,Cash,0.06,The Clean Vegan AHA/BHA Mask,Barulab,"Masks, Exfoliants & Facial Treatments",6.23,Irina Neagu,Cluj-Napoca,Female,11.71,12.46,0.75
148,2024-01-11,2,Yes,Card,0.03,All Purpose Skin Cream,Egyptian Magic,Moisturizers & Creams,24.45,Lukas Svoboda,Prague,Male,47.43,48.9,1.47
